title,decade
Dixie Dynamite,1970s
"Do Not Fold, Spindle or Mutilate",1970s
Doc (film),1970s
Doc Savage: The Man of Bronze,1970s
Doctors' Wives (1971 film),1970s
Dog Day Afternoon,1970s
Dolemite,1970s
Dollars (film),1970s
Don't Be Afraid of the Dark (1973 film),1970s
Don't Go Near the Park,1970s
Don't Open the Door!,1970s
Don't Play Us Cheap (film),1970s
Donald Gets Drafted,1970s
Doomsday Machine (film),1970s
Double Agent 73,1970s
Double Nickels,1970s
Dougal and the Blue Cat,1970s
"Dr. Black, Mr. Hyde",1970s
Dr. Minx,1970s
Dr. Strange (1978 film),1970s
Dracula (1979 film),1970s
Dracula Sucks,1970s
Dracula vs. Frankenstein,1970s
Dracula's Dog,1970s
Dream No Evil,1970s
Dreams of Glass,1970s
"Drive, He Said",1970s
Drive-In (film),1970s
Drive-In Massacre,1970s
Drum (1976 film),1970s
Duel (1971 film),1970s
Dummy (1979 film),1970s
Dusty and Sweets McGee,1970s
Dying Room Only,1970s
Dynamite Brothers,1970s
Earth II,1970s
Earthquake (1974 film),1970s
Eat My Dust!,1970s
Eaten Alive,1970s
Echoes of a Summer,1970s
El Capitan (film),1970s
El Condor (film),1970s
Electra Glide in Blue,1970s
Embryo (film),1970s
Emperor of the North Pole,1970s
Empire of the Ants (film),1970s
Encounter with the Unknown,1970s
End of the Road (1970 film),1970s
End of the World (1977 film),1970s
Enter the Dragon,1970s
Equinox (1970 film),1970s
Equus (film),1970s
Eraserhead,1970s
Escape from Alcatraz (film),1970s
Escape from the Dark,1970s
Escape from the Planet of the Apes,1970s
Escape to Witch Mountain (1975 film),1970s
Evel Knievel (1971 film),1970s
Even Angels Eat Beans,1970s
Evening in Byzantium,1970s
Every Which Way but Loose,1970s
"Evil Come, Evil Go",1970s
Evil Roy Slade,1970s
Executive Action (film),1970s
Exorcist II: The Heretic,1970s
Extreme Close-Up (film),1970s
Eyes of Laura Mars,1970s
F for Fake,1970s
F.I.S.T. (film),1970s
FM (film),1970s
Faces of Death,1970s
False Face (film),1970s
Family Flight,1970s
Family Plot,1970s
"Farewell, My Lovely (1975 film)",1970s
Fast Break (film),1970s
Fast Charlie... the Moonbeam Rider,1970s
Fat City (film),1970s
Feelin' Up,1970s
Female Trouble,1970s
Fiddler on the Roof (film),1970s
Fight for Your Life,1970s
Fighting Mad (1976 film),1970s
Fingers (1978 film),1970s
Fire Sale (film),1970s
Fire! (1977 film),1970s
Firepower (film),1970s
First Love (1977 film),1970s
Five Days from Home,1970s
Five Easy Pieces,1970s
Five on the Black Hand Side,1970s
Flap (film),1970s
Flesh Feast (film),1970s
Flesh Gordon,1970s
Flood!,1970s
Fools (1970 film),1970s
Fools' Parade,1970s
For Pete's Sake (film),1970s
For the Love of Benji,1970s
Force 10 from Navarone (film),1970s
Forced Entry (1973 film),1970s
Forced Entry (1975 film),1970s
Fore Play,1970s
Foreign Exchange (1970 film),1970s
Foul Play (1978 film),1970s
Four Rode Out,1970s
Foxy Brown (film),1970s
Framed (1975 film),1970s
Fraternity Row (film),1970s
Freaky Friday (1976 film),1970s
Freebie and the Bean,1970s
French Connection II,1970s
French Postcards,1970s
Friday Foster (film),1970s
Frogs (film),1970s
From Noon till Three,1970s
Fun with Dick and Jane (1977 film),1970s
Futureworld,1970s
Fuzz (film),1970s
Gable and Lombard,1970s
Ganja & Hess,1970s
Garden of the Dead,1970s
Gas-s-s-s,1970s
Gator (film),1970s
Genesis II (film),1970s
"Georgia, Georgia",1970s
Get Mean,1970s
Get to Know Your Rabbit,1970s
Getting Straight,1970s
Ghetto Freaks,1970s
Ginger in the Morning,1970s
Girlfriends (1978 film),1970s
Glass Houses (1972 film),1970s
Go Tell the Spartans,1970s
God Told Me To,1970s
Godspell (film),1970s
Goin' South,1970s
Going Home (1971 film),1970s
Going in Style,1970s
Golden Needles,1970s
Goldengirl,1970s
Gone in 60 Seconds (1974 film),1970s
Gone with the West,1970s
Good Guys Wear Black,1970s
"Good Luck, Miss Wyckoff",1970s
"Goodnight, My Love",1970s
Gordon's War,1970s
Gospel Road: A Story of Jesus,1970s
Grand Theft Auto (film),1970s
Grave of the Vampire,1970s
Gray Lady Down,1970s
Grayeagle,1970s
Grease (film),1970s
Greased Lightning (1977 film),1970s
Greaser's Palace,1970s
Griffin and Phoenix (1976 film),1970s
Grizzly (film),1970s
Group Marriage,1970s
Guess What We Learned in School Today?,1970s
Guns of a Stranger,1970s
Gus (1976 film),1970s
H.O.T.S.,1970s
Hair (film),1970s
Halloween (1978 film),1970s
Halloween with the New Addams Family,1970s
Halls of Anger,1970s
Hammer (1972 film),1970s
Hammersmith Is Out,1970s
Handle with Care (1977 film),1970s
"Hannah, Queen of the Vampires",1970s
Hanover Street (film),1970s
"Happy Birthday, Wanda June",1970s
"Happy Mother's Day, Love George",1970s
Hard Times (1975 film),1970s
Hardcore (1979 film),1970s
Harold and Maude,1970s
Harper Valley PTA (film),1970s
Harry and Tonto,1970s
Harry and Walter Go to New York,1970s
Harry in Your Pocket,1970s
Haunted (1977 film),1970s
Haunts (film),1970s
Haunts of the Very Rich,1970s
Hawmps!,1970s
He Is My Brother,1970s
Heartland (film),1970s
Hearts of the West,1970s
Heat (1972 film),1970s
Heaven Can Wait (1978 film),1970s
Hell Up in Harlem,1970s
Helter Skelter (1976 film),1970s
Her Name Was Lisa,1970s
Herbie Goes to Monte Carlo,1970s
Herbie Rides Again,1970s
Hercules in New York,1970s
Here Come the Tigers,1970s
Heroes (1977 film),1970s
Hex (1973 film),1970s
"Hi, Mom!",1970s
Hi-Riders,1970s
Hickey & Boggs,1970s
High Anxiety,1970s
High Plains Drifter,1970s
High Velocity (film),1970s
Hit Man (1972 film),1970s
Hollywood Boulevard (1976 film),1970s
Home for the Holidays (1972 film),1970s
Homebodies (film),1970s
Homer (film),1970s
"Honeybaby, Honeybaby",1970s
Hooper (film),1970s
Hornets' Nest,1970s
Hot Lead and Cold Feet,1970s
Hot Potato (1976 film),1970s
Hot Stuff (1979 film),1970s
House Calls (1978 film),1970s
House of Dark Shadows,1970s
How Awful About Allan,1970s
How Do I Love Thee?,1970s
How to Frame a Figg,1970s
How to Pick Up Girls!,1970s
Human Experiments,1970s
Hurricane (1979 film),1970s
"Hurry Up, or I'll Be 30",1970s
Husbands (film),1970s
Hustle (1975 film),1970s
I Dismember Mama,1970s
I Drink Your Blood,1970s
I Eat Your Skin,1970s
I Love My Wife (film),1970s
I Never Promised You a Rose Garden (film),1970s
I Spit on Your Corpse,1970s
I Spit on Your Grave,1970s
I Walk the Line (film),1970s
I Wanna Hold Your Hand (film),1970s
I Will Fight No More Forever,1970s
"I Will, I Will... for Now",1970s
I Wonder Who's Killing Her Now?,1970s
If Ever I See You Again (film),1970s
Images (film),1970s
Impulse (1974 film),1970s
Incident on a Dark Street,1970s
Interiors,1970s
International Velvet (film),1970s
Interval (film),1970s
Invasion of the Bee Girls,1970s
Invasion of the Blood Farmers,1970s
Invasion of the Body Snatchers (1978 film),1970s
Islands in the Stream (film),1970s
Isn't It Shocking?,1970s
It Happened One Christmas,1970s
It Happened at Lakewood Manor,1970s
It Lives Again,1970s
It's Alive (1974 film),1970s
Italian Graffiti,1970s
J. D.'s Revenge,1970s
J. W. Coop,1970s
Jack and the Beanstalk (1974 film),1970s
Jackson County Jail (film),1970s
Jaws (film),1970s
Jaws 2,1970s
Jennifer (1978 film),1970s
Jennifer on My Mind,1970s
Jenny (1970 film),1970s
Jeremiah Johnson (film),1970s
Jeremy (film),1970s
Jesus Christ Superstar (film),1970s
Jim the World's Greatest,1970s
Joe (1970 film),1970s
Joe Kidd,1970s
Johnny Got His Gun (film),1970s
Jonathan Livingston Seagull (film),1970s
Joshua (1976 film),1970s
Joyride (1977 film),1970s
Julia (1977 film),1970s
Junior Bonner,1970s
Junior High School (film),1970s
Just Me and You (1978 film),1970s
"Just You and Me, Kid",1970s
Just a Little Inconvenience,1970s
Kansas City Bomber,1970s
Kelly's Heroes,1970s
Kenny & Company,1970s
Kid Blue,1970s
Kill or Be Killed (1976 film),1970s
Killdozer! (film),1970s
Killer Force,1970s
Killer of Sheep,1970s
King Kong (1976 film),1970s
King of the Grizzlies,1970s
King of the Gypsies (film),1970s
Kingdom of the Spiders,1970s
Kiss Meets the Phantom of the Park,1970s
Klute,1970s
Knife for the Ladies,1970s
Kook's Tour,1970s
Kramer vs. Kramer,1970s
La Luna (1979 film),1970s
Lady Ice,1970s
Lady Sings the Blues (film),1970s
Land Raiders (film),1970s
Land of the Minotaur,1970s
Las Vegas Lady,1970s
Laserblast,1970s
Last Embrace,1970s
Last House on Dead End Street,1970s
Last of the Mobile Hot Shots,1970s
Last of the Red Hot Lovers (film),1970s
Law and Disorder (1974 film),1970s
Le Mans (film),1970s
Leadbelly (film),1970s
Legacy of Satan,1970s
Lemora,1970s
Lenny (film),1970s
Let Me Die a Woman,1970s
Let's Do It Again (1975 film),1970s
Let's Scare Jessica to Death,1970s
Lifeguard (film),1970s
Limbo (1972 film),1970s
Linda (1973 film),1970s
